区分コード,担当者名,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
A,伊東,K-13307E,1.0,1,MC-K-13307E,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-12405B,1.0,1,MV-K-12405B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-12405,1.0,1,MV-K-12405,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
D,伊東,E-26816DA,1.0,1,PL-E-26816DA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
D,伊東,LU-6601,1.0,1,PA-LU-6601,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
D,伊東,103-482,1.0,1,PL-103-482,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
D,伊東,K-25047AA,1.0,1,PL-K-25047AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
D,伊東,162-120BA26,1.0,1,PA-162-120BA26,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
E,宮木,DC-757UDG,1.0,1,AO-DC-757UDG,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,横山,DC-7110GB21,1.0,1,PA-DC-7110GB21,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,横山,3501-66053FA30,1.0,1,PA-3501-66053FA30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,横山,3501-66052BA30,1.0,1,PA-3501-66052BA30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,横山,5202-545AA,1.0,1,PL-5202-545AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,横山,1731-12A01BA18,1.0,1,PA-1731-12A01BA18,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,横山,LS61-03601AA,1.0,1,PL-LS61-03601AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,横山,DC-7110GA21,1.0,1,PA-DC-7110GA21,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,横山,3501-66053EB30,1.0,1,PA-3501-66053EB30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,横山,DC-7110GC21,1.0,1,PA-DC-7110GC21,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
